Article,Date
"Blame it on the bunny.

Every year, dozens of companies reference the Easter holiday in their earnings conference calls. From lingerie to soft drinks to airline tickets, companies across the S&P 500 expect to get a basketful of extra revenue from the holiday in late March or early April, but it doesn't always work out.

Any company expecting a boost in the first quarter like we saw last year is counting its Easter eggs before they hatch. That's because the holiday doesn't fall in the same quarter every year — instead, it's on the first Sunday after the first full moon occurring on or after the vernal equinox. That means it could be any day between March 22 and April 25. This year, it's April 16.

Last year was special, with the holiday falling in March, as it also did in 2013 and 2008. With Easter shifting back to April this year, first-quarter results are going to look weak when compared to last year. Executives will be sure to throw the Easter bunny under the bus.",2017-04-13
"Leon Cooperman, chairman and CEO of Omega Advisors, expects the market to be flat through the summer due to uncertainty over President Donald Trump's economic agenda.

""It is time for the U.S. equity market to rest,"" Cooperman wrote in the April 7 letter to clients.

As a result of the domestic political uncertainty, geopolitics and market valuation, the hedge fund manager expects the U.S. stock market will be ""trendless/uninteresting at around current levels for a number of months,"" he wrote.

Cooperman then predicts the bull market will resume if Washington doesn't get in the way.

""Our core views remain that the in-place U.S. equity bull market should persist for quite a while longer and that U.S. fixed income securities are unattractive,"" stated the letter. ""As we will see, a principal risk to our expectation for a pleasant U.S. share landscape is a political one, an inability of President Trump and the Republican Congress to deliver on their pro-growth economic agenda.""

His fund barely edged past the stock market last quarter, according to the letter. The Omega Capital Partners LP fund generated a 6.5 percent first-quarter net return versus the S&P 500 total return of 6.1 percent.

Cooperman founded Omega Advisors in 1991. The firm has approximately $3.6 billion assets under management currently, according to its website. That's way down from their peak after the SEC accused Cooperman of insider trading last year, allegations that he said as recently as last week that are without merit.

The market will ""lift moderately, likely to new highs"" after August and September as investors gets more ""clarity"" on what parts of President Trump's economic agenda will be implemented, the note states.



""The reflation trade has stalled,"" he wrote. ""This odd combination of an equity market lifting on better growth expectations while risk-off asset classes and sectors outperform may possibly suggest less investor confidence in the U.S. economic and earnings growth outlook and economic policy.""



— CNBC's Scott Wapner and Patricia Martell contributed to this story.",2017-04-13
"Mark 2016 as the latest Year of the Stock Picker that wasn't.

Active funds stumbled through another brutal year, with barely 1 in 3 large-cap managers able to beat the S&P 500, according to figures released Wednesday by S&P Dow Jones Indices. The news got worse farther down the scale, with 89.4 percent of mid-cap managers falling short and 85.5 percent of small-cap managers missing.

Things didn't get better over longer time frames either, with most managers falling short over 1-, 3-, 5-, 10- and 15-year spans.

The numbers come amid a pitched market debate over the benefits of active against passive management, and seemingly annual predictions that stock-picking finally will prevail.

Active managers oversee funds for which they move in and out of individual stocks, utilizing a variety of strategies, while passive funds track indexes and don't employ professional managers. Active funds generally carry much higher fees.

Investors have been shoveling money into passive strategies. Exchange-traded funds, most of which track indexes, saw record inflows of cash during the first quarter on both the stock and bond side. In 2016, passive funds attracted a net $508.4 billion while active suffered $340.1 billion in outflows, according to Morningstar.

""Its been a dismal backdrop in a dismal environment for active. The numbers prove that,"" said Nick Colas, chief market strategist at Convergex. ""Does that mean that environment will last forever? Markets always go in cycles.""

Colas believes a decline in correlations, or the tendency of stocks to move in unison that has been pronounced during the current bull market, will benefit active managers looking to capitalize on pricing discrepancies.",2017-04-12
"One of the most well-respected activist hedge fund managers believes the market is over-valued Wednesday, 12 Apr 2017 | 10:14 AM ET | 00:53

ValueAct's Jeff Ubben, one of the most-respected activist hedge fund managers out there, is returning capital to his investors because he is concerned about the stock market's high valuation.

""The broader market context is explicit to us. The S&P 500's median P/E ratio is 18 times. For most high quality companies we follow, it is much higher,"" Ubben wrote in the April 3 letter to clients. ""These valuations can only be justified by assuming cyclically high corporate margins will persist, a certainty of lower corporate tax rates and a risk-free rate that stays near all-time lows. We are skeptical of all of the above.""

The hedge fund will return $1.25 billion in capital to its limited partners starting on May 1. Ubben cited the higher-than-normal cash balances in the fund ranging from 10 percent to 29 percent since the end of 2015 versus the 5 percent average during the last decade.

""Over the remainder of 2017, we anticipate we will make more significant, partial sales of core positions and receive a $500 million dividend from Baker Hughes Incorporated upon the closing of its merger with General Electric's oil and gas division. Combined, these actions should adequately fund new investments, given the current market environment,"" he added.",2017-04-12
"Bank earnings are upon us. Optimism on the economy is running high, and banks are supposed to be able to demonstrate that. More demand for loans! Steeper yield curve!

But there are concerns. Investors are trying to reconcile a more optimistic outlook on the economy with troubling trends in bond yields and loan growth.

Here's the problem: a lot is expected to go right with bank earnings. Financials are expected to see a 15 percent gain in earnings in the first quarter. That is a lot. The gain is based on expectations that interest rates would be moving up, loan growth would improve, and credit risks would remain low.

But it's not quite playing out that way. Here's what's happening.

Interest rates are indeed up — the 10-year yield was at roughly 1.75 percent a year ago, it's at roughly 2.35 percent today. That's a big jump, 60 basis points, and it's happened because the Fed has been raising rates and inflation expectations are higher. But rates have been trending downward recently--we were at 2.6% a month ago. What's that all about? How can investors reconcile expected Fed rate hikes with rates trending lower? That's a problem. There has been some cracks in the credit market. For example, delinquencies have been rising on auto loans and non-prime card loans. It's small, but it has investors talking. Most importantly, loan growth has been anemic. How anemic? Total loan growth is up only 0.4% in Q1 compared to the same period last year, and has been particularly disappointing with Commercial & Industrial (C&I) loans, where there has been virtually no growth:

Bank lending

(Q1, year-over-year)

Total loan growth up 0.4%

Commercial/Industrial up 0.1%

Consumer up 0.5%

Commercial Real Estate up 2.0%

Mortgages down 0.1%

Source: Susquehanna

These are disappointing numbers, because loan growth trends were stronger last year. What happened? Susquehanna's bank analyst, Jack Micenko, believes part of the problem is that banks are simply changing the way they borrow money: many banks are paying off their bank loans and going to the bond market for money. He also believes there is continuing deleveraging in loans in the energy sector.

But Micenko admits these reasons can account for only part the disappointing numbers. Here's another alarming statistic: bank deposits are up 0.7% in the first quarter.

Deposits are up, but loan growth is flat. That is not a good sign, Micenko notes. ""In an expansionary environment, you see deposits go down and loan growth going up. The opposite is happening.""

Micenko's conclusion: ""Corporate America is sitting on their hands, and we don't know why. The optimism has not found its way into corporate behavior.""

So who's right, the bulls or the bears? We don't know yet, and that is why there is so much interest in bank earnings and particularly in the management outlook. They will avoid talking about Trump tax cuts but they can't avoid talking about loan growth and why bond yields are moving down and what the impact of a flatter yield curve will mean for them.

For the moment, the optimists are still in charge. Bank stocks (KBE) are 10% off their recent multiyear highs in early March but still nearly 20% above where they were on the eve of the election (the S&P 500 is up only 10%).

There's several reasons bulls still have the upper hand, for the moment:

Bank stocks are still comparatively cheap on a forward earnings basis. Evercore ISI notes that banks are trading at 12.3 times 2018 EPS estimates, up from just 11.7 times earnings pre-election. None of the analysts have incorporated any benefits from the Trump Agenda (tax cuts, infrastructure, less regulations) in 2017 earnings. Bank CEOs have not yet signaled alarm at the lower loan growth trends. They have acknowledged weak loan trends, but most have reiterated full year growth expectations.

Bottom line: a lot is riding on the commentary of a couple dozen bank CEOs in the next few weeks.",2017-04-11
"Fmr. American Airlines CEO: Oscar Munoz did 'exactly the right thing' Tuesday, 11 Apr 2017 | 4:16 PM ET | 05:10

Somebody made a big mistake by dragging a passenger from a United flight, but the airline's CEO did ""exactly the right thing"" by apologizing on Tuesday, former American Airlines CEO Bob Crandall told CNBC.

In his latest statement, United CEO Oscar Munoz said the airline took ""full responsibility"" and vowed that a thorough review would take place.

""Like you, I continue to be disturbed by what happened on this flight and I deeply apologize to the customer forcibly removed and to all the customers aboard. No one should ever be mistreated this way,"" Munoz said in a statement.

""That's what he should have said yesterday. He knows that now,"" Crandall said in an interview with ""Closing Bell"" on Tuesday.

Munoz's apology came a day after video of Dr. David Dao of Kentucky being dragged off an overbooked flight went viral on social media. The confrontation happened on a United Express flight operated by Republic Airways.

The CEO at first apologized for having to ""re-accommodate"" customers after a two-hour delay. He also sent a letter to employees Monday evening that claimed employees ""followed established procedures"" when removing the passenger from the plane.

Shares of United dropped on Tuesday and were among the worst performers in the S&P 500. The stock ultimately closed down just over 1 percent.

""Somebody made a big-time mistake. They shouldn't have done it and they know they shouldn't have done it,"" Crandall said. ""I'm sure it's taught everybody a useful lesson and hopefully everybody can now move on.""

The incident has shone a light on the practice by airlines to overbook flights, causing people to be bumped. However, Crandall pointed out that ""a very, very big majority"" give up their seats voluntarily.

And he believes industry will continue to try to find ways to entice people to do so.

""The way you get people off is you raise the price to get people to voluntarily give up their seats. You don't get on and drag somebody off, and I think everyone in the Western world now knows that,"" Crandall said.",2017-04-11
"As quarterly earnings season kicks into gear this week, no sector will be more important than banks.

Besides being a pivotal growth engine for the U.S. economy, the industry will serve as a barometer for what to expect in the era of a volatile new president and the first sustained interest rate increases in more than a decade.

On the surface, there's reason for optimism: Profits are expected to be robust enough that the group will show the sharpest gains of any of the 11 S&P 500 sectors. For the quarter, banks as a particular group should show 10 percent earnings growth over the same period in 2016, while financials broadly probably grew 14.3 percent, according to FactSet projections this week.

However, that will tell only part of the story. Big banks start reporting Thursday, with JPMorgan Chase, Wells Fargo, Citigroup and PNC on tap.",2017-04-11
"If the capital markets had to be characterized by one quality this year, it would be the low level of volatility. And if changes in investor behavior had to be characterized by one quality, it would be the rise of passive investing.

So are the two trends related?

Some experts, such as Sandler O'Neill research analyst Richard Repetto, see a connection.

""There's no one resounding answer to [why we've seen] this low volatility,"" Repetto, who covers the brokers and exchanges, said Tuesday on CNBC""s ""Trading Nation."" But the growth of assets in exchange-traded funds, which largely track indexes, ""has had some impact.""

Repetto pointed out that the first quarter of 2017 was the least volatile quarter for the S&P 500 in decades — which is just one among a host of stats showing how anomalous the lack of market movement has been.

Interestingly, this general decline in volatility has come in an environment in which it is not uncommon to see big volatility spikes in reaction to surprising events such as the U.K. vote to exit the European Union or Donald Trump's election.

The fact that the low level of realized volatility (which is distinct from, but largely explains, the low level of expected future volatility portrayed by the VIX) comes amid potentially anxiety-making world events leaves Repetto reaching for market structure-based causes.

""My explanation is that [high-frequency trading] and the growth of ETF assets are reducing volatility,"" Repetto wrote in a recent research note.

There may be something to this, acknowledged Seddik Meziani, professor of finance at Montclair State University's Feliciano School of Business.

""To a large extent, I disagree that low volatility is being caused by ETFs,"" Meziani, the author of three books about exchange-traded funds, told CNBC in a Thursday phone interview.

That said, ""I would go so far as to say that it's exacerbated by this new tool. I would grant that maybe volatility wouldn't reach these highs and lows as easily if ETFs weren't around"" given that ""now you can express your sentiment toward the economy a little more easily.""

Meziani's last point hints at a famous puzzle in finance. Why, academics such as Robert Shiller, have asked, are markets so much more volatile than the underlying economy?

""It has often been objected in popular discussions that stock price index are too 'volatile', i.e., that the movements in stock price indexes could not realistically be attributed to any objective new information, since movements in the indexes are 'too big' relative to actual subsequent movements in dividends,"" is how Shiller summed up the problem in a widely cited 1980 paper. And this was before stocks crashed in October 1987 for no apparent reason whatsoever.

When considered within this framework, it seems that fretting over the decline in volatility may be a bit silly — akin to demanding that a chef explain why a once-inedible dish no longer scorches the taste buds.

""If there is excess volatility due to non-fundamental reasons, eliminating it will result in lower volatility and more efficient markets,"" Stefano Giglio, associate professor of finance at the University of Chicago's Booth School at Business, wrote to CNBC on Monday.

""If market participants and arbitrageurs are able to eliminate some of the excess price fluctuations that are generated by deviations from fundamental values, this is certainly better for investors,"" Giglio added.

To be sure, it's far from obvious that a decline in volatility is good for investors.

As Ian Dew-Becker, assistant professor of finance at Northwestern's Kellogg school, pointed out in an email, it's hard to prove that equity volatility has indeed been higher than economic volatility.

On top of that, the recent decline in stock market volatility has come amid an ""extremely stable"" period for economic growth, which means that whether fundamental and actual volatility ""have gotten closer to each other is a separate question that I don't know the answer to.""

Finally, while reduced volatility lowers the risk of buying at a poor price, it also reduces the opportunity to buy at a great one.

Still, for the average investor who is more interested in seeing their money grow alongside the economy than in snatching up incredible bargains, the decline of volatility is probably a boon.

And the fact that one of the causes of this lower volatility may be their vehicle for doing so cheaply may be the icing on the cake.",2017-04-10
"Some events to keep an eye on this week:

On Monday, U.S. Federal Reserve Chair Janet Yellen delivers a speech at the University of Michigan's Gerald R. Ford School of Public Policy. Why it matters: The Yellen Fed shook up the market last week with talk about starting to unload the $4.5 trillion in bonds it has accumulated over the past eight years. Any further clues from Yellen could move markets.

Tuesday brings a couple important economic indicators. There's a small business index reading before the market opens, then the monthly Job Openings and Labor Turnover Survey, or JOLTS, later in the morning. Why it matters: Yellen watches the JOLTS report closely for clues on the employment picture.

Elsewhere in the economy, there are counts on import and export prices Wednesday, produce prices on Thursday, and consumer prices as well as the University of Michigan consumer sentiment survey on Friday. Why they matter: A disturbing piece of news Friday, namely that the Atlanta Fed had knocked its first-quarter GDP growth projection all the way down to 0.6 percent. That's another way of saying the economy did almost nothing to start the year. Incoming economic data, then, will help tell whether growth is ever going to start picking up.",2017-04-09
"When it comes to stocks over the next few months, one strategist is telling investors to look beyond the Trump administration and at the market's fundamentals instead.



The so-called ""Trump rally"" has seemed to cool off as stocks sit near all-time highs, but have generally traded in a range since the end of February. On that note, Eaton Vance's chief equity investment officer, Eddie Perkin, told CNBC that if investors look even deeper, the Trump rally may not be because of President Donald Trump after all.

""If we look at how the markets performed in the first quarter of the year, the stock market overall was very strong and I think a lot of people are attributing that to the Trump rally,"" Perkin said last week on CNBC's ""Futures Now.""

However, ""if you look at the underlying stocks and sectors that worked, it was actually the stocks that had lagged previously,"" he added.

Following the November election, investors had their eyes on a variety of sectors that they believed would benefit under Trump's pro-business and deregulation-based policies. Financials and materials, for example, were two of the hottest ""Trump trades"" in the first few months out of the election.

Yet now, financials have slumped and are sitting almost flat from the start of the year, and materials have actually faded away from their year to date highs and are trading sideways. Instead, technology and health care have become two of the best-performing sectors.

A '2018 story'

Health care, which has been in the spotlight due to stalled repeal and replace in Washington, is up over 7 percent year to date. Meanwhile tech has rallied nearly 12 percent in 2017. Tech stocks were expected to come under pressure as Trump aimed to target the H-1B visa hiring tool. T

he surge in both these groups leads Perkin to point out that the supposed Trump trades are not what have been driving the market this year.

So what should investors be looking at to get a read on the market? Perkin actually believes that earnings growth will be the biggest factor moving stocks and will set the markets up for the ""2018 story."" Analysts are predicting a second quarter straight of improved earnings, with Thomson Reuters IBES saying that if all earnings meet estimates, the S&P 500 Index would see 10 percent growth.

""I think the bull case for stocks is you've got a bit of earnings growth this year, and then you've got an inflection upward in 2018,"" said Perkin. ""If that doesn't come through, then I'm a little reluctant to bet on further multiple expansion from here.""

Perkin does believe, however, that should the Trump administration manage to pass a tax reform bill, then the markets will likely head higher off the news.

For the latest headlines and a peak at what's coming up on our ""Futures Now"" shows, sign up for the brand new ""Futures Now"" newsletter at: http://www.cnbc.com/futuresnowemail/.",2017-04-07
"The ""Fast Money"" traders break down their market moves Friday after a flurry of political headlines during the week, including a Thursday U.S. airstrike on Syria, failed to shake investors.

Trader Steve Grasso said he's stepping away from the market because he is ""waiting for this [it] to crack."" He said he sold Qualcomm and Micron Technology, but he is still invested in housing stocks and positioned for impending mergers and acquisitions across the market.

Grasso said he will return to the market if the S&P 500 jumps over 2400 points on substantial data that's more than just sentiment. The S&P closed at 2355.54 points on Friday, down 0.08 percent.

Trader David Seaburg said he was impressed by the resilience of the market following the U.S. airstrike on Syria. He said he likes the healthcare and technology sectors. He said merger and acquisitions should accumulate in the technology space.

Trader Brian Kelly said he will continue to ride high with Wal-Mart. The retailer was upgraded by a Telsey Advisory Group analyst on Friday and saw the company's shares saw a 2 percent gain. He said he got into Wal-Mart because he continues to believe the possible border adjustment tax will not become law.

The iShares Nasdaq Biotechnology ETF sector earned favor from Guy Adami with its consistent move higher. The exchange-traded fund is up over 3 percent in the last 3 months.

Adami also said he likes Wal-Mart. He said the stock should continue its climb and outperform Target.

Disclosures:

Steve Grasso's firm is long AON, BX, CUBA, DIA, F, HES, ICE, KDUS, MAT, MFIN, MJNA, MSFT, NE, RIG, SNAP, SPY, SQBG, TITXF, UA, WDR, WPX, ZNGA. Grasso is long CHK, EEM, EVGN, GDX, KBH, MJNA, MON, OLN, PFE, PHM, T, TWTR, VRX. Grasso's kids own EFA, EFG, EWJ, IJR, SPY. No shorts.

""Opinions expressed by David Seaburg are solely his own and do not reflect the views and opinions of Cowen Group, Inc. David Seaburg and Cowen have a financial interest in EDIT. Diamond Offshore: an employee of Cowen and Company, LLC serves on the Board of Directors of Diamond Offshore""

Brian Kelly is long Bitcoin, FXI, HLF, TSLA, WMT, XBI.

Guy Adami is long CELG, EXAS, GDX, INTC. Adami's wife, Linda Snow, works at Merck.",2017-04-07
"Mexico could be the go-to play for investors concerned with discord in the White House and the struggles of the Republican congress to pass legislation, Jack Ablin, chief investment officer at BMO Private Bank, said Friday on CNBC's ""Closing Bell.""

""Mexico could be an interesting play for investors who think that the Trump agenda is going to continue to get pushed out,"" Ablin said.

The White House has denied a swirl of reports claiming that senior White House officials Reince Priebus and Steve Bannon are on the way out, but among the commotion, Ablin said the Mexican stock market's strong performance makes it an attractive play for investors losing faith in the promise of deregulation and tax reform.

""We've got a Mexican peso that is trading much cheaper than it was before the election, [and] we've got a Mexican stock market that is certainly cheap relative to the S&P 500,"" Ablin said. ""In fact, Mexico has been one of the best-performing markets this year and if the Trump agenda gets pushed out, it will likely continue.""

The Mexico IPC Index is up more than 8 percent year to date, while the S&P 500 Index is up more than 5 percent year to date.

Watch: State of US-Mexico relations",2017-04-07
"Once again the markets have demonstrated what they care about the most: the Fed and how aggressive it may be on interest rates, and any threat to the Trump agenda.

Midday, the Fed's William Dudley told a luncheon crowd that the Fed may begin the process of shrinking its $4.5 trillion bond portfolio later this year and that there might be only a ""little pause"" in the Fed's rate hike plan.

That was viewed as mildly hawkish by the markets. The dollar and 10-year yields rose. Bank stocks rose modestly, as did the S&P, though the gains have not lasted. This is not surprising, since Dudley's comments mostly affirm what had come out of the Fed minutes, though the ""little pause"" comment is slightly more hawkish.

Contrast this to the past 24 hours, where we've had a series of high-drama events that haven't done much to move the markets for even a short period. We have had a high-stakes meeting between President Trump and President Xi of China, a Syrian missile strike, and a disappointing jobs report.

And the market reaction? The S&P 500 is flat.

True, the 10-year yield has had a rather wild 24-hour run, going from 2.34% last night, then down to 2.29% on the Syrian missile strike, then rallying back early in the morning to 2.33%, then plunging to 2.27% right after the disappointing jobs report (the lowest level since mid-November) — and now rallying back to 2.36% on the Dudley comments.

But all this is small potatoes compared to what happened Wednesday, when the Dow plunged 200 points after the Fed said they would be moving to reduce their balance sheet later this year and House speaker Paul Ryan said tax reform could take longer than health-care reform.

The bottom line: geopolitical risk is definitely back on the radar of stock traders, but other factors are much higher up on the risk list. The Trump agenda and the Fed are the two top risks, with — for the moment — the economy and geopolitical risk much further down.",2017-04-07
"In the medium and long term, Nuveen Asset Management's chief equity strategist Bob Doll is constructive on equities and risk assets.

But he is growing ""increasingly cautious"" on the market in the short term.



""We think economic sentiment may be too high and elevated confidence may make investors vulnerable to downside economic surprises. To be sure, we are not expecting a significant economic slowdown, but the nearly non-stop pace of positive economic data is unlikely to continue,"" Doll wrote in a recent note to clients.



He continued: ""At some point, a setback will likely be triggered by a manufacturing decline, soft oil prices, weakening data from China or some other factor, which could spark a risk-off phase.""



In an interview with CNBC on Thursday, Doll said he doesn't see a substantial pullback in the horizon, but highlighted several recent economic and political developments that give him pause.



Institute for Supply Management published data Monday came in slightly above estimates and declined by a half percent month over month. And Doll noted House Speaker Paul Ryan's comments Wednesday in which he said the House of Representatives, the Senate and the White House ""aren't even on the same page yet on tax reform.""

An important indicator of economic strength will come on Friday morning, when the Bureau of Labor Statistics releases the March employment report.

As for the markets' performance year to date, Doll said Thursday, ""It was big [cap] that led small [cap]. It was growth that led value. It was defensive that led the cyclicals. That isn't where we were last year, nor is it a sign that we're going straight up. It's just a little bit of a warning sign.""

Doll typically has a bullish tone. Toward the end of January, as the S&P 500 had risen about 6 percent after the U.S. election in November, he told CNBC's ""Squawk Box"" that the rally still had room to run. And prior to that, in late November, he told CNBC that the S&P 500 would rise at the end of 2016 and at the end of 2017.



At this juncture, several internal market indicators are giving pause to Chris Verrone, head of technical analysis at Strategas Research Partners.



""This is a market that's really been consolidating for the last four or five weeks now,"" Verrone commented in an interview Thursday on CNBC's ""Trading Nation.""



Verrone said that last week about 30 percent of the stocks in the S&P 500 touched 20-day lows, and the market typically offers buyers better opportunities amid ""washed-out conditions"" when about half of the market hits the same milestone.",2017-04-06
"Private equity is taking off, and breaking records along the way.

In some ways, private equity's gain comes at the expense of hedge funds' losses. In others, it is simply emblematic of the tremendous amount of capital sloshing around the world, with few other places to invest after almost a decade of low interest rates.

North American funds secured their highest first-quarter fundraising total ever, raising $62 billion, according to data compiled by Preqin, an alternative assets research firm. Worldwide, 253 private capital funds ended their fundraising process in the quarter, hauling in $156 billion, the data showed, which was the best first quarter since right before the financial crisis.

The momentum is likely to continue into the second quarter, with more than 3,000 funds currently marketing to investors, according to Preqin.",2017-04-06
"Reducing the Fed's massive balance sheet could lead to higher rates sooner than some expected Thursday, 6 Apr 2017 | 9:01 AM ET | 00:47

Consider the Federal Reserve the Starship Enterprise of monetary policy: It went where no central bank had gone before, and now must plot the journey home.

The Fed already has begun one leg of the trip, as it has started raising interest rates from financial crisis-era lows. Now, it is preparing to embark on what could be the more perilous part — unwinding the $4.5 trillion of bonds it holds on its so-called balance sheet.

Central bank officials discussed in March how to address the balance sheet, according to minutes of the Federal Open Market Committee released Wednesday. While it may just sound like arcane monetary talk, the stakes are high both for investors and consumers.

Get it right, and the Fed will have pulled off what its critics thought impossible, namely embarking on unprecedented intervention in the markets with little consequence. Get it wrong and the fallout could be dramatic, including a sharp rise in interest rates and tumult in the stock and bond markets.",2017-04-06
"For one thing, the Fed could buy up most of the companies in the S&P 500. A full 315 individual companies, when counting from the bottom of the list by market capitalization. That includes well-known names like Viacom, Clorox and Expedia.

On the other end, the Fed's spending spree could purchase the top 10 companies: everything from Apple to Wells Fargo. That includes a lot of big outfits like Amazon, Alphabet and Exxon Mobil.

But the Fed maybe should have wound down its balance sheet years ago: A previous CNBC analysis showed that in December 2015, it could have afforded the 14 biggest companies in the index.

""Provided that the economy continued to perform about as expected, most participants anticipated that gradual increases in the federal funds rate would continue and judged that a change to the committee's reinvestment policy would likely be appropriate later this year,"" the March minutes said.

The Fed's balance sheet is around 24 percent of U.S. GDP, which is far above the historical average of around 6 percent. But other industrialized nations have asset-to-GDP ratios that are much higher. The Fed's total assets have plateaued in recent years while those of other central banks like Japan and the European Union have continued to rise.",2017-04-06
"Stocks that are commonly held as part of a broad investment portfolio can be considered conflicts of interest in the hands of powerful public servants. Other holdings could simply be considered unseemly.

At least three staffers invested in Rockwell Automation, which produces equipment and software to help factories increase their use of robotic workers — possibly a liability in an administration that has emphasized saving manufacturing jobs. And Liddell had up to $15,000 invested in Herbalife, the nutritional supplement company that's been the focus of a heated investor battle for years. The company was cleared by the Federal Trade Commission last summer of allegations that it operated a pyramid scheme.

Some of the biggest companies in the country are government contractors, and are well represented in White House staffers' portfolios. Contractors could be of particular interest to investors looking to trade based on the administration because their revenue is often highly dependent on decisions made in Washington.

All the big defense firms can be found in the financial disclosures, and many paid out healthy dividends last year. Liddell is also invested in General Dynamics, the defense contractor that produces missile and marine systems for the government, among other things. Both Liddell and Director of Legislative Affairs Marc Short owned shares in Lockheed Martin.

At least four White House staff members owned shares in the defense contractor United Technologies. The company also is the parent of air conditioner manufacturer Carrier Corp, which made news in November when it was the first of many companies to attract Trump's wrath after it made plans to move jobs to Mexico. Trump announced that 1,100 of those jobs would be saved, though that number was later revised down to 800 jobs.

The filings do not indicate all of the stocks that will be divested as part of standard ethics screening. The White House said in a statement on March 31 that the disclosures were a snapshot in time and said reporters would have to seek out additional information on retained assets in the future.

""These are incredibly successful individuals, very high net worth, very sophisticated, complex asset structures, numerous sub-LLCs, trusts and other items, all of which have to be worked through,"" the statement said. ""And for those who are fans of 'Spinal Tap,' these were the 'elevens' out of ten on the scale.""",2017-04-06
"Traders tend to scoff when a policymaker plays investor, often referencing when then-Federal Reserve Chairman Alan Greenspan made a very early ""irrational exuberance"" call in December 1996, more than three years before the top of the dot-com bull market.

That skepticism was voiced again Wednesday when the Fed released its meeting minutes from March which read: ""Broad U.S. equity price indexes increased over the intermeeting period, and some measures of valuations, such as price-to-earnings ratios, rose further above historical norms. ... Some participants viewed equity prices as quite high relative to standard valuation measures.""

But traders shouldn't be so quick to dismiss these comments from Fed officials. History shows when worries about valuation appear in these official minutes, stocks often struggle in the following year.

We found six mentions of an overvalued stock market in the minutes by searching the Fed's website for the word ""valuation"" going back to 1996. According to Kensho, here's the performance of the major market averages one year after the meeting when such a mention took place.

What's interesting is that these mentions didn't always occur at the end of bull markets. The officials' discussion of an overvalued stock market often came before long pauses during bull markets when equity valuations were able to come back in line because of a period of consolidation.

So this doesn't mean the end of the bull is near, but it could be another reason to believe we're in for a long period of sideways trading until earnings can catch up.

Here are the specific mentions of high ""valuation"" in the minutes, according to the Fed's website, along with the S&P 500's subsequent return from the meeting when that mention was made.

Meeting: April 28-29 — 2015 S&P 500 return 1-year later: -1.97%

""However, some indicators suggested that valuations remained stretched for some asset classes. An estimate of the expected real return on equities moved down, reflecting an increase in stock prices and downward revisions to forecasts of corporate earnings, and corporate bond spreads declined somewhat.""

Sept. 16-17, 2014 — S&P 500 return 1-year later: -0.57%

""Some financial developments that could undermine financial stability over time were noted, including a deterioration in leveraged lending standards, stretched stock market valuations, and compressed risk spreads.""

Jan. 27-28, 2004 — S&P 500 return 1-year later: +3.8%

""A number of members commented that expectations of sustained policy accommodation appeared to have contributed to valuations in financial markets that left little room for downside risks, and the change in wording might prompt those markets to adjust more appropriately to changing economic circumstances in the future.""

Dec. 11, 2001 — S&P 500 return 1-year later: -20.39%

""Among those risks, members cited the apparently reduced prospects for additional fiscal stimulus legislation, the vulnerability of current stock market valuations should forecasts of a robust rebound in earnings fail to materialize, the possibility of further terrorist incidents, and especially the potentially adverse effect on consumer confidence and spending of additional deterioration in labor market conditions.""

March 21, 2000 — S&P 500 return 1-year later: -24.88%

""The divergence, at least until recently, in the stock market between the valuations of high-tech firms and those of more traditional, established firms was inducing a redirection of investment funds to business activities that were perceived to be more productive. While the associated capital investments undoubtedly had contributed to the acceleration in productivity, some members expressed concern that the historically elevated valuations of many high-tech stocks were subject to a sizable market adjustment at some point. That risk was underscored by the increased volatility of the stock market.""

Dec. 17, 1996 — S&P 500 return 1-year later: 32.99%

""The rise over recent years had been extraordinary and had brought market valuations to fairly high levels relative to earnings and dividends. In these circumstances, the members recognized the need to monitor with special care price movements in the stock market and asset markets more generally for their implications for consumer and other spending.""

Disclosure: NBCUniversal, parent of CNBC, is a minority investor in Kensho.",2017-04-05
